epoch,trained_on,step,loss,grad_norm,seconds
20,property10,1,nan,nan,0.38
20,property10,2,nan,nan,0.63
20,property10,3,nan,nan,0.41
20,property10,4,nan,nan,0.40
20,property10,5,nan,nan,0.46
20,property10,6,nan,nan,0.50
20,property10,7,nan,nan,0.49
20,property10,8,nan,nan,0.50
20,property10,9,nan,nan,0.56
20,property10,10,nan,nan,0.37
20,property10,11,nan,nan,0.37
20,property10,12,nan,nan,0.35
20,property10,13,nan,nan,0.47
20,property10,14,nan,nan,0.89
20,property10,15,nan,nan,0.67
20,property10,16,nan,nan,0.76
21,property1,1,nan,nan,0.05
21,property1,2,nan,nan,0.06
21,property1,3,nan,nan,0.06
21,property1,4,nan,nan,0.06
21,property1,5,nan,nan,0.06
21,property1,6,nan,nan,0.06
21,property1,7,nan,nan,0.06
21,property1,8,nan,nan,0.06
21,property1,9,nan,nan,0.07
21,property1,10,nan,nan,0.07
21,property1,11,nan,nan,0.08
21,property1,12,nan,nan,0.17
21,property1,13,nan,nan,0.11
21,property1,14,nan,nan,0.08
21,property1,15,nan,nan,0.07
21,property1,16,nan,nan,0.08
22,property2,1,nan,nan,0.37
22,property2,2,nan,nan,0.94
22,property2,3,nan,nan,0.67
22,property2,4,nan,nan,0.53
22,property2,5,nan,nan,0.44
22,property2,6,nan,nan,0.41
22,property2,7,nan,nan,0.38
22,property2,8,nan,nan,0.35
22,property2,9,nan,nan,0.37
22,property2,10,nan,nan,0.36
22,property2,11,nan,nan,0.39
22,property2,12,nan,nan,0.37
22,property2,13,nan,nan,0.41
22,property2,14,nan,nan,0.36
22,property2,15,nan,nan,0.36
22,property2,16,nan,nan,0.35
23,property3,1,nan,nan,0.38
23,property3,2,nan,nan,0.56
23,property3,3,nan,nan,0.51
23,property3,4,nan,nan,0.50
23,property3,5,nan,nan,0.65
23,property3,6,nan,nan,0.59
23,property3,7,nan,nan,0.73
23,property3,8,nan,nan,0.40
23,property3,9,nan,nan,0.40
23,property3,10,nan,nan,0.68
23,property3,11,nan,nan,0.49
23,property3,12,nan,nan,0.39
23,property3,13,nan,nan,0.41
23,property3,14,nan,nan,0.39
23,property3,15,nan,nan,0.35
23,property3,16,nan,nan,0.35
24,property4,1,nan,nan,0.34
24,property4,2,nan,nan,0.49
24,property4,3,nan,nan,0.39
24,property4,4,nan,nan,0.40
24,property4,5,nan,nan,0.35
24,property4,6,nan,nan,0.35
24,property4,7,nan,nan,0.35
24,property4,8,nan,nan,0.35
24,property4,9,nan,nan,0.36
24,property4,10,nan,nan,0.37
24,property4,11,nan,nan,0.35
24,property4,12,nan,nan,0.39
24,property4,13,nan,nan,0.43
24,property4,14,nan,nan,0.69
24,property4,15,nan,nan,0.39
24,property4,16,nan,nan,0.35
25,property5,1,nan,nan,0.36
25,property5,2,nan,nan,0.40
25,property5,3,nan,nan,0.35
25,property5,4,nan,nan,0.55
25,property5,5,nan,nan,0.37
25,property5,6,nan,nan,0.37
25,property5,7,nan,nan,0.37
25,property5,8,nan,nan,0.35
25,property5,9,nan,nan,0.37
25,property5,10,nan,nan,0.35
25,property5,11,nan,nan,0.37
25,property5,12,nan,nan,0.36
25,property5,13,nan,nan,0.36
25,property5,14,nan,nan,0.36
25,property5,15,nan,nan,0.36
25,property5,16,nan,nan,0.35
26,property6,1,nan,nan,0.76
26,property6,2,nan,nan,0.73
26,property6,3,nan,nan,1.19
26,property6,4,nan,nan,1.22
26,property6,5,nan,nan,1.93
26,property6,6,nan,nan,0.88
26,property6,7,nan,nan,0.87
26,property6,8,nan,nan,1.21
26,property6,9,nan,nan,1.10
26,property6,10,nan,nan,0.88
26,property6,11,nan,nan,0.80
26,property6,12,nan,nan,1.27
26,property6,13,nan,nan,0.79
26,property6,14,nan,nan,0.78
26,property6,15,nan,nan,0.77
26,property6,16,nan,nan,1.01
27,property7,1,nan,nan,0.59
27,property7,2,nan,nan,0.65
27,property7,3,nan,nan,0.57
27,property7,4,nan,nan,0.59
27,property7,5,nan,nan,0.60
27,property7,6,nan,nan,0.58
27,property7,7,nan,nan,0.60
27,property7,8,nan,nan,0.59
27,property7,9,nan,nan,0.58
27,property7,10,nan,nan,0.68
27,property7,11,nan,nan,0.58
27,property7,12,nan,nan,0.58
27,property7,13,nan,nan,0.57
27,property7,14,nan,nan,0.57
27,property7,15,nan,nan,0.57
27,property7,16,nan,nan,0.66
28,property8,1,nan,nan,0.62
28,property8,2,nan,nan,0.66
28,property8,3,nan,nan,0.67
28,property8,4,nan,nan,0.68
28,property8,5,nan,nan,0.82
28,property8,6,nan,nan,0.69
28,property8,7,nan,nan,0.74
28,property8,8,nan,nan,0.79
28,property8,9,nan,nan,0.62
28,property8,10,nan,nan,0.71
28,property8,11,nan,nan,0.68
28,property8,12,nan,nan,0.69
28,property8,13,nan,nan,0.77
28,property8,14,nan,nan,0.61
28,property8,15,nan,nan,0.60
28,property8,16,nan,nan,0.59
29,property9,1,nan,nan,0.34
29,property9,2,nan,nan,0.41
29,property9,3,nan,nan,0.30
29,property9,4,nan,nan,0.29
29,property9,5,nan,nan,0.29
29,property9,6,nan,nan,0.29
29,property9,7,nan,nan,0.31
29,property9,8,nan,nan,0.30
29,property9,9,nan,nan,0.30
29,property9,10,nan,nan,0.30
29,property9,11,nan,nan,0.31
29,property9,12,nan,nan,0.30
29,property9,13,nan,nan,0.32
29,property9,14,nan,nan,0.30
29,property9,15,nan,nan,0.30
29,property9,16,nan,nan,0.30
30,property10,1,nan,nan,0.29
30,property10,2,nan,nan,0.31
30,property10,3,nan,nan,0.31
30,property10,4,nan,nan,0.31
